City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Santa Rosa,PH,14.3122,121.1114,80.01,83,20,3.44,few clouds
1,Mataura,NZ,-46.1927,168.8643,52.43,88,99,1.88,overcast clouds
2,Codajas,BR,-3.8367,-62.0569,89.13,60,72,4.65,moderate rain
3,Melo,UY,-32.3667,-54.1833,84.94,46,0,2.1,clear sky
4,San Patricio,US,28.017,-97.5169,64.99,59,1,13.8,clear sky
5,Vaini,TO,-21.2,-175.2,77.0,94,75,10.36,light rain
6,Tarko-Sale,RU,64.9225,77.785,16.07,97,100,19.22,light snow
7,Bredasdorp,ZA,-34.5322,20.0403,69.8,52,89,10.36,overcast clouds
8,Oktyabrskoye,RU,43.0645,44.7417,26.6,100,90,2.24,overcast clouds
9,Matata,NZ,-37.8833,176.75,59.0,91,76,1.01,broken clouds
10,Mar Del Plata,AR,-38.0023,-57.5575,64.4,82,90,8.05,moderate rain
11,Avarua,CK,-21.2078,-159.775,78.8,89,2,4.61,clear sky
12,Lamar,US,33.6668,-95.5836,39.99,100,90,9.22,overcast clouds
13,Moree,AU,-29.4667,149.85,66.2,82,0,6.91,clear sky
14,Yumen,CN,40.2833,97.2,31.3,70,58,9.1,broken clouds
15,Formosa,AR,-26.1775,-58.1781,84.2,45,0,8.05,clear sky
16,Dikson,RU,73.5069,80.5464,-27.78,86,91,10.78,overcast clouds
17,Ponta Do Sol,PT,32.6667,-17.1,61.0,69,85,7.0,overcast clouds
18,Jieshi,CN,22.8134,115.8257,63.01,81,0,11.63,clear sky
19,Ayagoz,KZ,47.9714,80.4392,28.74,98,99,15.75,overcast clouds
20,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,83,75,9.22,moderate rain
21,Busselton,AU,-33.65,115.3333,63.0,98,100,14.67,overcast clouds
22,Bluff,NZ,-46.6,168.3333,54.34,89,100,4.88,overcast clouds
23,Torbay,CA,47.6666,-52.7314,34.0,59,40,33.38,scattered clouds
24,Bethel,US,41.3712,-73.414,28.0,93,90,4.61,fog
25,Ushuaia,AR,-54.8,-68.3,59.0,55,0,13.8,clear sky
26,Cooma,AU,-36.2333,149.1333,51.8,82,90,5.75,overcast clouds
27,Yellowknife,CA,62.456,-114.3525,-45.0,65,1,4.61,clear sky
28,Atuona,PF,-9.8,-139.0333,79.03,76,38,21.05,scattered clouds
29,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,0,18.41,clear sky
30,Albany,US,42.6001,-73.9662,25.0,75,100,5.53,snow
31,Saskylakh,RU,71.9167,114.0833,-38.31,78,25,11.92,scattered clouds
32,Hauterive,FR,46.0901,3.4459,44.6,61,75,8.05,broken clouds
33,Nikolskoye,RU,59.7035,30.7861,15.8,92,75,11.18,light snow
34,Calamar,CO,10.2511,-74.9146,89.6,58,0,3.44,clear sky
35,Coos Bay,US,43.3665,-124.2179,44.6,93,90,3.44,overcast clouds
36,High Level,CA,58.5169,-117.136,-40.0,67,40,3.27,fog
37,Matara,LK,5.9485,80.5353,76.89,87,31,1.9,scattered clouds
38,Hermanus,ZA,-34.4187,19.2345,70.0,67,57,3.0,broken clouds
39,Sistranda,NO,63.7256,8.834,23.0,86,40,6.91,scattered clouds
40,Carnarvon,AU,-24.8667,113.6333,78.8,100,11,12.66,few clouds
41,Tasiilaq,GL,65.6145,-37.6368,21.2,58,1,3.44,clear sky
42,Hobart,AU,-42.8794,147.3294,55.4,58,90,9.22,overcast clouds
43,Rikitea,PF,-23.1203,-134.9692,77.2,73,95,11.45,light rain
44,Kapaa,US,22.0752,-159.319,60.8,72,1,11.5,clear sky
45,Inhambane,MZ,-23.865,35.3833,86.0,70,20,6.91,few clouds
46,Trzebnica,PL,51.3108,17.0633,21.99,85,100,1.01,overcast clouds
47,Souillac,MU,-20.5167,57.5167,80.6,78,20,10.36,few clouds
48,Alice Springs,AU,-23.7,133.8833,78.01,35,33,6.91,scattered clouds
49,Ancud,CL,-41.8697,-73.8203,78.8,36,0,4.61,clear sky
50,Pangnirtung,CA,66.1451,-65.7125,28.27,80,0,15.14,clear sky
51,Barranca,PE,-10.75,-77.7667,76.14,61,100,7.7,overcast clouds
52,Lubliniec,PL,50.669,18.6844,19.99,86,90,18.41,snow
53,Longyearbyen,SJ,78.2186,15.6401,17.6,67,75,19.57,light snow
54,Pevek,RU,69.7008,170.3133,-7.51,87,0,1.48,clear sky
55,Jacksonville Beach,US,30.2947,-81.3931,62.6,77,75,13.8,broken clouds
56,Luderitz,NA,-26.6481,15.1594,76.23,51,0,31.94,clear sky
57,Barrow,US,71.2906,-156.7887,-18.4,69,1,11.5,light snow
58,Madang,PG,-5.2246,145.7966,76.82,87,100,4.5,overcast clouds
59,Nanortalik,GL,60.1432,-45.2371,34.25,82,100,17.94,overcast clouds
60,Matamoros,MX,25.5333,-103.25,55.4,16,75,2.46,broken clouds
61,Qaanaaq,GL,77.484,-69.3632,10.85,88,99,3.8,overcast clouds
62,Chokurdakh,RU,70.6333,147.9167,-27.49,84,56,4.36,broken clouds
63,Saint George,US,37.1041,-113.5841,33.8,51,1,0.45,clear sky
64,Pisco,PE,-13.7,-76.2167,75.99,83,75,5.75,broken clouds
65,Fortuna,US,40.5982,-124.1573,45.0,93,90,3.71,overcast clouds
66,Olafsvik,IS,64.8945,-23.7142,34.0,84,0,14.56,clear sky
67,Hilo,US,19.7297,-155.09,64.4,59,20,8.05,few clouds
68,Biak,ID,-0.9131,122.8766,77.68,80,100,2.35,overcast clouds
69,Isangel,VU,-19.55,169.2667,77.0,94,20,3.71,few clouds
70,Tecoanapa,MX,16.5167,-98.75,83.91,57,23,3.74,few clouds
71,Andros Town,BS,24.7,-77.7667,78.8,83,75,16.11,broken clouds
72,Lorengau,PG,-2.0226,147.2712,81.81,81,97,8.75,overcast clouds
73,Murgab,TM,37.4966,61.9714,53.6,62,75,4.61,broken clouds
74,Omagari,JP,39.45,140.4833,25.88,96,97,10.13,light snow
75,Mayumba,GA,-3.432,10.6554,81.16,83,81,7.58,moderate rain
76,Cherskiy,RU,68.75,161.3,-3.42,73,59,1.86,broken clouds
77,Punta Arenas,CL,-53.15,-70.9167,62.6,34,0,12.66,clear sky
78,Daitari,IN,21.1,85.75,58.21,77,14,1.92,few clouds
79,Coahuayana,MX,18.7333,-103.6833,71.6,73,1,3.51,clear sky
80,Macamic,CA,48.7502,-78.9996,12.2,62,75,9.22,light snow
81,Santa Cruz De La Palma,ES,28.6835,-17.7642,66.2,63,75,11.5,broken clouds
82,Port Elizabeth,ZA,-33.918,25.5701,68.0,94,75,8.05,broken clouds
83,Mount Isa,AU,-20.7333,139.5,78.8,94,40,5.75,scattered clouds
84,Khatanga,RU,71.9667,102.5,-31.88,79,0,8.72,clear sky
85,Geraldton,AU,-28.7667,114.6,69.8,78,40,10.36,scattered clouds
86,Upernavik,GL,72.7868,-56.1549,18.5,80,22,2.77,few clouds
87,Isabela,PH,6.7085,121.9711,78.8,89,75,1.14,broken clouds
88,Butaritari,KI,3.0707,172.7902,80.58,81,28,17.31,scattered clouds
89,Codrington,AU,-38.2667,141.9667,56.39,68,86,10.96,overcast clouds
90,Russell,US,32.3502,-85.1999,48.2,71,90,6.91,overcast clouds
91,Pacific Grove,US,36.6177,-121.9166,45.0,87,1,3.44,clear sky
92,East London,ZA,-33.0153,27.9116,73.4,83,20,6.91,few clouds
93,Srednekolymsk,RU,67.45,153.6833,-7.69,87,100,7.58,overcast clouds
94,Airai,TL,-8.9266,125.4092,61.23,100,100,2.33,overcast clouds
95,Salalah,OM,17.0151,54.0924,75.2,69,75,3.44,broken clouds
96,Goure,NE,13.9835,10.2704,82.99,8,2,7.0,clear sky
97,Thanh Hoa,VN,19.8,105.7667,68.92,83,83,1.77,broken clouds
98,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,77,75,16.11,broken clouds
99,Kaitangata,NZ,-46.2817,169.8464,57.99,94,49,1.99,scattered clouds
100,Yerbogachen,RU,61.2767,108.0108,16.97,97,100,6.04,light snow
101,Saint-Philippe,RE,-21.3585,55.7679,80.6,78,75,5.75,light rain
102,Kavieng,PG,-2.5744,150.7967,82.63,78,34,10.02,scattered clouds
103,Faya,SA,18.3851,42.4509,59.0,67,0,3.44,clear sky
104,Novyy Urengoy,RU,66.0833,76.6333,-3.57,92,100,19.66,light snow
105,Faanui,PF,-16.4833,-151.75,80.92,75,3,12.97,light rain
106,Saldanha,ZA,-33.0117,17.9442,73.4,46,0,23.02,clear sky
107,Hasaki,JP,35.7333,140.8333,39.2,70,20,3.44,few clouds
108,Jaguaribe,BR,-5.8906,-38.6219,99.28,23,75,7.81,broken clouds
109,Bundoran,IE,54.4778,-8.2809,37.4,75,90,14.97,overcast clouds
110,Ilheus,BR,-14.7889,-39.0494,86.0,70,75,6.91,broken clouds
111,Korla,CN,41.7597,86.1469,33.4,74,83,7.61,broken clouds
112,Vanimo,PG,-2.6741,141.3028,77.65,86,100,2.64,overcast clouds
113,Iqaluit,CA,63.7506,-68.5145,24.8,68,75,21.85,snow
114,La Orilla,MX,17.9833,-102.2333,84.63,49,10,2.1,clear sky
115,Lebu,CL,-37.6167,-73.65,64.09,74,71,3.89,broken clouds
116,Kununurra,AU,-15.7667,128.7333,78.8,100,40,2.3,light rain
117,Tuatapere,NZ,-46.1333,167.6833,53.65,76,94,4.74,overcast clouds
118,Burnie,AU,-41.0667,145.9167,57.0,67,79,5.66,broken clouds
119,Cidreira,BR,-30.1811,-50.2056,77.65,63,50,9.84,scattered clouds
120,Meadow Lake,US,34.8014,-106.5436,45.0,26,1,6.42,clear sky
121,Muros,ES,42.7762,-9.0603,52.0,92,100,17.0,moderate rain
122,Castro,BR,-24.7911,-50.0119,73.99,44,0,3.2,clear sky
123,Namwala,ZM,-15.7504,26.4384,71.37,91,100,3.78,overcast clouds
124,Hualmay,PE,-11.0964,-77.6139,76.73,62,100,8.01,overcast clouds
125,Kieta,PG,-6.2167,155.6333,79.5,80,99,4.23,overcast clouds
126,Sepolno Krajenskie,PL,53.452,17.5317,18.0,93,100,5.01,overcast clouds
127,Linxi,CN,39.7,118.4333,24.73,74,0,3.0,clear sky
128,Leova,MD,46.4786,28.2553,31.8,96,100,13.42,overcast clouds
129,Vice,PE,-5.4167,-80.7833,86.36,45,5,8.48,clear sky
130,Arlit,NE,18.7369,7.3853,80.2,12,94,5.44,overcast clouds
131,Swift Current,CA,50.2834,-107.8014,-23.8,76,1,6.91,clear sky
132,Ouesso,CG,1.6136,16.0517,83.32,51,51,1.74,broken clouds
133,Harper,LR,4.375,-7.7169,84.27,72,82,8.43,broken clouds
134,Firminy,FR,45.3873,4.2907,44.6,61,75,9.22,broken clouds
135,Port Alfred,ZA,-33.5906,26.891,68.0,94,57,20.42,light rain
136,Katsuura,JP,35.1333,140.3,46.4,53,0,16.11,clear sky
137,Norman Wells,CA,65.282,-126.8329,-27.4,75,90,2.3,light snow
138,Landsberg,PL,52.7368,15.2288,21.99,51,99,20.58,light snow
139,Thompson,CA,55.7435,-97.8558,-36.4,67,75,13.8,snow
140,Melnikovo,RU,56.5558,84.085,17.29,94,62,14.25,broken clouds
141,Khorixas,NA,-20.3667,14.9667,82.09,31,100,18.45,overcast clouds
142,Kloulklubed,PW,7.0419,134.2556,77.0,100,90,8.05,overcast clouds
143,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,90,14.97,snow
144,Laguna,US,38.421,-121.4238,45.0,93,1,4.88,mist
145,Odweyne,SO,9.4092,45.064,67.55,60,1,12.71,clear sky
146,Verkhnetulomskiy,RU,68.6073,31.7962,14.0,92,75,2.24,light snow
147,Hami,CN,42.8,93.45,30.43,81,43,2.95,scattered clouds
148,Jamestown,US,42.097,-79.2353,21.0,86,90,9.22,light snow
149,Zeya,RU,53.75,127.2667,-14.17,83,34,3.42,scattered clouds
150,Sao Raimundo Nonato,BR,-9.0153,-42.6994,91.49,41,76,4.05,broken clouds
151,Hay River,CA,60.8156,-115.7999,-40.0,67,30,4.61,scattered clouds
152,Vila,PT,42.0304,-8.1588,44.01,95,100,18.99,overcast clouds
153,Songea,TZ,-10.6833,35.65,78.8,69,75,5.75,moderate rain
154,Chuy,UY,-33.6971,-53.4616,76.84,59,1,7.76,clear sky
155,Beringovskiy,RU,63.05,179.3167,-5.49,89,99,13.94,overcast clouds
156,Ridgecrest,US,35.6225,-117.6709,35.6,38,1,1.1,clear sky
157,Port Lincoln,AU,-34.7333,135.8667,59.5,80,14,16.46,few clouds
158,Baykit,RU,61.67,96.37,25.61,96,100,5.3,overcast clouds
159,Finnsnes,NO,69.2296,17.9811,24.8,80,75,6.91,light snow
160,Bireun,ID,5.203,96.7009,78.22,84,70,3.65,broken clouds
161,Talnakh,RU,69.4865,88.3972,-23.55,72,0,3.74,clear sky
162,Ribeira Grande,PT,38.5167,-28.7,64.4,68,40,19.57,scattered clouds
163,Jinchang,CN,38.4953,102.1739,30.49,74,100,2.37,overcast clouds
164,Namibe,AO,-15.1961,12.1522,78.8,65,40,11.5,scattered clouds
165,Kruisfontein,ZA,-34.0033,24.7314,68.0,88,100,4.0,overcast clouds
166,Adrar,MR,20.5022,-10.0711,71.78,21,0,15.66,clear sky
167,Nidau,CH,47.1255,7.2403,41.0,75,75,6.91,light rain
168,Lethem,GY,3.3803,-59.7968,84.2,65,40,13.8,scattered clouds
169,Axim,GH,4.8699,-2.2405,82.78,77,100,8.25,overcast clouds
170,Clinton,US,42.587,-82.9199,14.0,61,75,10.36,broken clouds
171,Galich,RU,58.3797,42.3475,-14.82,87,98,7.18,overcast clouds
172,Aklavik,CA,68.2191,-135.0107,-11.2,70,90,13.8,snow
173,Najran,SA,17.4924,44.1277,69.8,35,26,6.91,scattered clouds
174,Teknaf,BD,20.8624,92.3058,70.03,56,0,14.58,clear sky
175,Kangaatsiaq,GL,68.3065,-53.4641,21.97,85,0,23.71,clear sky
176,Camacha,PT,33.0833,-16.3333,60.8,88,40,17.27,scattered clouds
177,Rouvroy,FR,50.3925,2.904,30.99,86,90,9.22,overcast clouds
178,Lapua,FI,62.9693,23.0088,23.0,96,100,5.99,overcast clouds
179,Bambous Virieux,MU,-20.3428,57.7575,81.0,78,20,10.36,few clouds
180,Provideniya,RU,64.3833,-173.3,-3.64,77,18,14.43,few clouds
181,Halifax,CA,44.6453,-63.5724,30.2,51,100,1.14,overcast clouds
182,Trincomalee,LK,8.5711,81.2335,79.41,83,54,16.4,broken clouds
183,Novo Aripuana,BR,-5.1206,-60.3797,84.99,82,79,0.51,light rain
184,Road Town,VG,18.4167,-64.6167,84.2,61,40,14.97,scattered clouds
185,Bengkulu,ID,-3.8004,102.2655,77.36,85,100,6.42,light rain
186,Chino Valley,US,34.7575,-112.4538,48.99,44,1,2.64,clear sky
187,Xuddur,SO,4.1213,43.8894,80.37,35,0,9.57,clear sky
188,Portland,US,45.5234,-122.6762,42.01,87,90,4.61,overcast clouds
189,Cabo San Lucas,MX,22.8909,-109.9124,66.2,72,40,3.44,scattered clouds
190,Tabory,RU,58.5198,64.5495,1.49,92,100,12.88,overcast clouds
191,Tiznit,MA,29.5833,-9.5,54.0,67,28,12.77,scattered clouds
192,Saintes,FR,45.6667,-0.75,48.2,66,75,8.05,broken clouds
193,Gat,IL,31.61,34.7642,63.0,100,0,5.68,clear sky
194,Tilichiki,RU,60.4667,166.1,9.09,96,100,14.76,light snow
195,Kamiiso,JP,41.8167,140.65,20.35,92,30,12.06,scattered clouds
196,The Pas,CA,53.8251,-101.2541,-34.6,61,1,14.97,clear sky
197,Vilyuysk,RU,63.7553,121.6247,-23.58,85,78,10.42,broken clouds
198,Qianguo,CN,45.1171,124.8568,-9.69,87,66,2.71,broken clouds
199,Half Moon Bay,US,37.4636,-122.4286,48.99,100,90,6.91,mist
200,Padang,ID,-0.9492,100.3543,82.4,74,20,6.91,few clouds
201,Walvis Bay,NA,-22.9575,14.5053,69.8,68,28,10.36,scattered clouds
202,Kodiak,US,57.79,-152.4072,26.6,63,1,4.61,clear sky
203,Hailar,CN,49.2,119.7,-16.62,86,1,1.48,clear sky
204,Bonavista,CA,48.6499,-53.1147,33.01,51,66,20.71,broken clouds
205,Lugovoy,KZ,42.9472,72.7644,37.9,78,100,7.27,overcast clouds
206,Payakumbuh,ID,-0.2202,100.6308,70.47,87,100,1.48,overcast clouds
207,Lavrentiya,RU,65.5833,-171.0,-10.97,82,0,6.26,clear sky
208,Tiksi,RU,71.6872,128.8694,-29.34,83,83,3.42,broken clouds
209,Bayan,CN,46.0833,127.4,-15.59,88,0,5.48,clear sky
210,Novopokrovka,UA,49.8425,36.5477,10.4,67,20,8.95,few clouds
211,Ilulissat,GL,69.2167,-51.1,26.6,33,0,11.5,clear sky
212,Shellbrook,CA,53.2168,-106.4011,-34.6,67,1,5.75,mist
213,Grindavik,IS,63.8424,-22.4338,35.6,60,20,14.97,few clouds
214,Mount Gambier,AU,-37.8333,140.7667,55.4,71,90,6.91,overcast clouds
215,Tabas,IR,33.5959,56.9244,60.8,18,0,2.3,clear sky
216,Lompoc,US,34.6391,-120.4579,53.01,93,1,3.44,clear sky
217,Port Said,EG,31.2565,32.2841,64.4,72,0,5.75,clear sky
218,Marawi,PH,7.9986,124.2928,75.99,94,100,3.0,overcast clouds
219,Bollnas,SE,61.3482,16.3946,14.0,81,0,1.99,clear sky
220,Joetsu,JP,37.1483,138.2364,37.99,81,85,1.99,light rain
221,Vila Do Maio,CV,15.1333,-23.2167,73.4,53,75,25.32,broken clouds
222,Esmeralda,CU,21.8525,-78.1169,86.0,54,20,2.3,few clouds
223,Narsaq,GL,60.9167,-46.05,39.2,33,20,49.48,few clouds
224,Karratha,AU,-20.7377,116.8463,79.3,68,9,10.49,clear sky
225,Cazzago San Martino,IT,45.5938,10.0419,51.01,84,100,1.77,overcast clouds
226,Huilong,CN,31.8111,121.655,51.01,78,97,5.99,light rain
227,Karwar,IN,14.8,74.1333,75.96,52,0,6.73,clear sky
228,Kuminskiy,RU,58.6667,66.5667,2.7,92,100,14.5,overcast clouds
